302	936	223	206
631	936	223	206
960	936	223	206
1288	936	223	206
1617	936	223	206
1946	936	223	206
2275	936	223	206
2603	936	223	206
302	1142	223	206
631	1142	223	206
960	1142	223	206
1288	1142	223	206
1617	1142	223	206
1946	1142	223	206
2275	1142	223	206
2603	1142	223	206
302	1349	223	206
631	1349	223	206
960	1349	223	206
1288	1349	223	206
1617	1349	223	206
1946	1349	223	206
2275	1349	223	206
2603	1349	223	206
302	1556	223	206
631	1556	223	206
960	1556	223	206
1288	1556	223	206
1617	1556	223	206
1946	1556	223	206
2275	1556	223	206
2603	1556	223	206
302	1763	223	206
631	1763	223	206
960	1763	223	206
1288	1763	223	206
1617	1763	223	206
1946	1763	223	206
2275	1763	223	206
2603	1763	223	206
302	1970	223	206
631	1970	223	206
960	1970	223	206
1288	1970	223	206
1617	1970	223	206
1946	1970	223	206
2275	1970	223	206
2603	1970	223	206
302	2177	223	206
631	2177	223	206
960	2177	223	206
1288	2177	223	206
1617	2177	223	206
1946	2177	223	206
2275	2177	223	206
2603	2177	223	206
302	2384	223	206
631	2384	223	206
960	2384	223	206
1288	2384	223	206
1617	2384	223	206
1946	2384	223	206
2275	2384	223	206
2603	2384	223	206
302	2591	223	206
631	2591	223	206
960	2591	223	206
1288	2591	223	206
1617	2591	223	206
1946	2591	223	206
2275	2591	223	206
2603	2591	223	206
302	2798	223	206
631	2798	223	206
960	2798	223	206
1288	2798	223	206
1617	2798	223	206
1946	2798	223	206
2275	2798	223	206
2603	2798	223	206
302	3005	223	206
631	3005	223	206
960	3005	223	206
1288	3005	223	206
1617	3005	223	206
1946	3005	223	206
2275	3005	223	206
2603	3005	223	206
302	3212	223	206
631	3212	223	206
960	3212	223	206
1288	3212	223	206
1617	3212	223	206
1946	3212	223	206
2275	3212	223	206
2603	3212	223	206
302	3419	223	206
631	3419	223	206
960	3419	223	206
1288	3419	223	206
1617	3419	223	206
1946	3419	223	206
2275	3419	223	206
2603	3419	223	206
302	3626	223	206
631	3626	223	206
960	3626	223	206
1288	3626	223	206
1617	3626	223	206
1946	3626	223	206
2275	3626	223	206
2603	3626	223	206
302	3833	223	206
631	3833	223	206
960	3833	223	206
1288	3833	223	206
1617	3833	223	206
1946	3833	223	206
2275	3833	223	206
2603	3833	223	206
302	4040	223	206
631	4040	223	206
960	4040	223	206
1288	4040	223	206
1617	4040	223	206
1946	4040	223	206
2275	4040	223	206
2603	4040	223	206
302	4247	223	206
631	4247	223	206
960	4247	223	206
1288	4247	223	206
1617	4247	223	206
1946	4247	223	206
2275	4247	223	206
2603	4247	223	206
302	4454	223	206
631	4454	223	206
960	4454	223	206
1288	4454	223	206
1617	4454	223	206
1946	4454	223	206
2275	4454	223	206
2603	4454	223	206
302	4661	223	206
631	4661	223	206
960	4661	223	206
1288	4661	223	206
1617	4661	223	206
1946	4661	223	206
2275	4661	223	206
2603	4661	223	206
3208	964	222	206
3536	964	222	206
3863	964	222	206
4191	964	222	206
4519	964	222	206
4847	964	222	206
5174	964	222	206
5502	964	222	206
3208	1170	222	206
3536	1170	222	206
3863	1170	222	206
4191	1170	222	206
4519	1170	222	206
4847	1170	222	206
5174	1170	222	206
5502	1170	222	206
3208	1376	222	206
3536	1376	222	206
3863	1376	222	206
4191	1376	222	206
4519	1376	222	206
4847	1376	222	206
5174	1376	222	206
5502	1376	222	206
3208	1582	222	206
3536	1582	222	206
3863	1582	222	206
4191	1582	222	206
4519	1582	222	206
4847	1582	222	206
5174	1582	222	206
5502	1582	222	206
3208	1788	222	206
3536	1788	222	206
3863	1788	222	206
4191	1788	222	206
4519	1788	222	206
4847	1788	222	206
